1.bmp	228	199	19	10	0.0833333	0.655172	35.3921	0.0509756
2.bmp	235	204	20	11	0.0851064	0.645161	35.682	0.0443725
3.bmp	213	185	22	6	0.103286	0.785714	36.0224	0.0597064
4.bmp	181	156	21	4	0.116022	0.84	35.7432	0.0347648
5.bmp	126	111	14	1	0.111111	0.933333	35.6297	0.0392659
6.bmp	96	84	11	1	0.114583	0.916667	35.5018	0.108646
7.bmp	185	171	13	1	0.0702703	0.928571	35.3787	0.0265822
8.bmp	165	143	20	2	0.121212	0.909091	35.9564	0.050287
9.bmp	172	158	13	1	0.0755814	0.928571	35.8417	0.0732621
10.bmp	234	211	22	1	0.0940171	0.956522	35.7429	0.0438703
11.bmp	255	229	21	5	0.0823529	0.807692	36.2366	0.0472284
12.bmp	264	229	24	11	0.0909091	0.685714	35.5223	0.0522301
13.bmp	197	175	19	3	0.0964467	0.863636	35.9003	0.0466974
14.bmp	228	200	24	4	0.105263	0.857143	34.7708	0.0377701
15.bmp	208	181	19	8	0.0913462	0.703704	36.6245	0.040633
16.bmp	241	218	20	3	0.0829876	0.869565	36.1218	0.0402355
17.bmp	265	243	16	6	0.0603774	0.727273	35.2982	0.0371295
18.bmp	256	239	16	1	0.0625	0.941176	35.8633	0.0339745
19.bmp	255	238	15	2	0.0588235	0.882353	35.8724	0.0384621
20.bmp	247	218	26	3	0.105263	0.896552	35.8396	0.0378768
21.bmp	234	200	27	7	0.115385	0.794118	35.5007	0.0307462
22.bmp	243	209	27	7	0.111111	0.794118	35.2837	0.0370022
23.bmp	231	203	25	3	0.108225	0.892857	35.6673	0.0386122
24.bmp	190	168	21	1	0.110526	0.954545	35.5358	0.0395679
25.bmp	214	180	28	6	0.130841	0.823529	35.181	0.0401651
26.bmp	242	223	16	3	0.0661157	0.842105	34.9516	0.0261399
27.bmp	239	210	26	3	0.108787	0.896552	35.1593	0.0280918
28.bmp	189	172	15	2	0.0793651	0.882353	35.4878	0.0347116
29.bmp	213	192	20	1	0.0938967	0.952381	35.6161	0.0392482
30.bmp	243	218	21	4	0.0864198	0.84	34.9335	0.0367294
